Name,Team,Position,Age,Exp,Points,Pts-Game,Pos-Rank,Drop-Off,Points-VOR,Rank
Mike Hilton,PIT,CB,25,3,77,4.8125,50,0.75,-32.16666667,327
Taysom Hill,NOS,QB,29,2,25.7,1.60625,37,2.07,-243.8133333,636
Kenny Moore,IND,CB,24,2,78,4.875,48,0.25,-31.16666667,320
Zach Pascal,IND,WR,25,2,23.2,1.45,116,1.65,-79.225,549
Josh Allen,BUF,QB,23,1,250.94,15.68375,21,9.41,-18.57333333,243
Baker Mayfield,CLE,QB,24,1,259.1,16.19375,20,10.13,-10.41333333,189
Josh Rosen,MIA,QB,22,1,62.04,3.8775,33,18.56,-207.4733333,632
Sam Darnold,NYJ,QB,22,1,201.28,12.58,29,37.47,-68.23333333,503
Lamar Jackson,BAL,QB,22,1,267.44,16.715,14,2.52,-2.073333333,145
Saquon Barkley,NYG,RB,22,1,271.2,16.95,1,19.65,158.2,1
Derrius Guice,WAS,RB,22,1,121.9,7.61875,32,2,8.9,95
Ronald Jones,TBB,RB,22,1,96.1,6.00625,43,4.5,-16.9,228
Sony Michel,NEP,RB,24,1,135.3,8.45625,29,1.3,22.3,67
Rashaad Penny,SEA,RB,23,1,117.6,7.35,35,14.9,4.6,113
Nick Chubb,CLE,RB,24,1,168.4,10.525,18,1.25,55.4,30
Josh Adams,PHI,RB,23,1,2.3,0.14375,109,1.15,-110.7,627
Kerryon Johnson,DET,RB,22,1,166,10.375,21,1.85,53,35
Jaylen Samuels,PIT,RB,23,1,96.6,6.0375,42,2.55,-16.4,226
Phillip Lindsay,DEN,RB,25,1,174.6,10.9125,14,2.9,61.6,25
Royce Freeman,DEN,RB,23,1,83.9,5.24375,48,0.45,-29.1,311
Justin Jackson,LAC,RB,24,1,42.9,2.68125,71,1.25,-70.1,516
Kalen Ballage,MIA,RB,24,1,57.4,3.5875,61,0.15,-55.6,449
Nyheim Hines,IND,RB,23,1,100.3,6.26875,39,1.25,-12.7,204
Darrel Williams,KCC,RB,24,1,4.2,0.2625,107,1.8,-108.8,625
Calvin Ridley,ATL,WR,25,1,112.3,7.01875,30,1.9,9.875,91
Courtland Sutton,DEN,WR,24,1,102.5,6.40625,36,2.85,0.075,133
James Washington,PIT,WR,23,1,78.6,4.9125,58,1.65,-23.825,278
Christian Kirk,ARI,WR,23,1,79.5,4.96875,56,0.8,-22.925,272
Dante Pettis,SFO,WR,24,1,99.8,6.2375,37,1.8,-2.625,149
D.J. Moore,CAR,WR,22,1,124.4,7.775,26,3.45,21.975,68
Equanimeous St. Brown,GBP,WR,23,1,64.5,4.03125,71,3.55,-37.925,368
Anthony Miller,CHI,WR,25,1,71.2,4.45,63,0.95,-31.225,321
Antonio Callaway,CLE,WR,22,1,36.5,2.28125,99,2.45,-65.925,495
Tre'Quan Smith,NOS,WR,23,1,56.7,3.54375,75,0.35,-45.725,404
Michael Gallup,DAL,WR,23,1,86.8,5.425,50,2.6,-15.625,223
Marcell Ateman,OAK,WR,25,1,44.1,2.75625,89,0.65,-58.325,461
Deontay Burnett,NYJ,WR,22,1,18.9,1.18125,123,2.6,-83.525,571
DaeSean Hamilton,DEN,WR,24,1,45.9,2.86875,85,0.75,-56.525,453
Robert Foster,BUF,WR,25,1,107.6,6.725,33,2.9,5.175,109
Keke Coutee,HOU,WR,22,1,65.7,4.10625,69,1.15,-36.725,357
Trey Quinn,WAS,WR,24,1,44.2,2.7625,88,0.4,-58.225,460
D.J. Chark,JAC,WR,23,1,33.6,2.1,101,0.3,-68.825,507
Mark Andrews,BAL,TE,23,1,66.2,4.1375,25,5.2,-21.1,258
Mike Gesicki,MIA,TE,24,1,60.5,3.78125,27,1.15,-26.8,295
Dallas Goedert,PHI,TE,25,1,74,4.625,21,4.8,-13.3,208
Ian Thomas,CAR,TE,23,1,39.5,2.46875,39,1,-47.8,422
Chris Herndon,NYJ,TE,23,1,76.2,4.7625,20,4.45,-11.1,191
Hayden Hurst,BAL,TE,26,1,39.5,2.46875,39,2.7,-47.8,422
Bradley Chubb,DEN,LB,23,1,88.5,5.53125,44,1.5,-43.83333333,395
Arden Key,OAK,DE,23,1,33.5,2.09375,59,1,-40,379
Da'Shawn Hand,DET,DT,24,1,30.5,1.90625,63,0.75,-43,389
Marcus Davenport,NOS,DE,23,1,47,2.9375,40,1,-26.5,293
Vita Vea,TBB,DT,24,1,41.5,2.59375,46,0.25,-32,326
Roquan Smith,CHI,LB,22,1,133,8.3125,9,1,0.666666667,130
Tremaine Edmunds,BUF,LB,21,1,137,8.5625,6,2.75,4.666666667,112
Rashaan Evans,TEN,LB,23,1,69.5,4.34375,63,1.25,-62.83333333,482
Harold Landry,TEN,LB,23,1,61,3.8125,71,0.75,-71.33333333,519
Josey Jewell,DEN,LB,25,1,60.5,3.78125,72,2,-71.83333333,522
Lorenzo Carter,NYG,LB,24,1,63.5,3.96875,68,0.75,-68.83333333,508
Uchenna Nwosu,LAC,LB,23,1,32.5,2.03125,95,0,-99.83333333,613
Jerome Baker,MIA,LB,23,1,96,6,38,1,-36.33333333,354
Denzel Ward,CLE,CB,22,1,78.5,4.90625,47,0.5,-30.66666667,317
Minkah Fitzpatrick,MIA,S,23,1,91,5.6875,27,0.75,-18.16666667,237
Derwin James,LAC,S,23,1,121,7.5625,4,5.5,11.83333333,88
Ronnie Harrison,JAC,S,22,1,80,5,45,0.5,-29.16666667,312
Terrell Edmunds,PIT,S,22,1,87,5.4375,34,0.5,-22.16666667,267
Justin Reid,HOU,S,22,1,116.5,7.28125,5,2.75,7.333333333,99
Daniel Carlson,OAK,K,24,1,32,2,13,1,-7,173
Eddy Pineiro,CHI,K,24,1,44,2.75,5,3,5,110
Blake Jarwin,DAL,TE,25,2,40.8,2.55,36,0.85,-46.5,412
Da'Ron Payne,WAS,DT,22,1,71.5,4.46875,12,0.25,-2,144
Chase Edmonds,ARI,RB,23,1,37.1,2.31875,76,0.65,-75.9,533
Leighton Vander Esch,DAL,LB,22,1,138,8.625,5,2.25,5.666666667,106
Jaire Alexander,GBP,CB,22,1,75.5,4.71875,53,0.5,-33.66666667,337
Darius Leonard,IND,LB,24,1,162,10.125,1,19,29.66666667,57
Kemoko Turay,IND,DE,24,1,32,2,61,1,-41.5,383
Jessie Bates,CIN,S,22,1,105.5,6.59375,14,0.75,-3.666666667,155
Donte Jackson,CAR,CB,24,1,88.5,5.53125,32,1.25,-20.66666667,255
B.J. Hill,NYG,DE,24,1,52,3.25,32,0.25,-21.5,261
Fred Warner,SFO,LB,23,1,94,5.875,41,4.75,-38.33333333,371
Tracy Walker,DET,S,24,1,55,3.4375,76,0,-54.16666667,441
Oren Burks,GBP,LB,24,1,63,3.9375,69,1.25,-69.33333333,511
Jordan Akins,HOU,TE,27,1,26.5,1.65625,50,1.6,-60.8,474
Jordan Whitehead,TBB,S,22,1,70,4.375,63,1,-39.16666667,375
Will Dissly,SEA,TE,23,1,4,0.25,74,0.8,-83.3,568
Taron Johnson,BUF,CB,23,1,74,4.625,55,0.75,-35.16666667,345
Kenny Young,BAL,LB,24,1,78,4.875,53,1,-54.33333333,443
Ito Smith,ATL,RB,24,1,91.2,5.7,45,3.6,-21.8,263
Dalton Schultz,DAL,TE,23,1,7.6,0.475,68,0.65,-79.7,552
Ja'Whaun Bentley,NEP,LB,23,1,67.5,4.21875,65,2,-64.83333333,490
Justin Watson,TBB,WR,24,1,15.5,0.96875,126,2.7,-86.925,583
Tre Flowers,SEA,CB,24,1,89,5.5625,31,0.5,-20.16666667,251
Genard Avery,CLE,LB,24,1,71.5,4.46875,61,0.5,-60.83333333,475
Jermaine Carter,CAR,LB,24,1,48,3,84,2,-84.33333333,573
Jordan Wilkins,IND,RB,25,1,19.5,1.21875,91,2.25,-93.5,597
Marquez Valdes-Scantling,GBP,WR,25,1,92.5,5.78125,41,1.9,-9.925,186
Jake Martin,SEA,DE,24,1,24.5,1.53125,74,0,-49,427
Russell Gage,ATL,WR,23,1,6.7,0.41875,135,1.1,-95.725,606
Shaun Dion Hamilton,WAS,LB,24,1,57,3.5625,74,1.5,-75.33333333,532
Foyesade Oluokun,ATL,LB,24,1,80,5,50,1.25,-52.33333333,437
Jordan Thomas,HOU,TE,23,1,28.7,1.79375,46,0.45,-58.6,464
Jason Sanders,MIA,K,24,1,32,2,13,3.5,-7,173
Gus Edwards,BAL,RB,24,1,64.5,4.03125,59,5.65,-48.5,425
Mike Boone,MIN,RB,24,1,28.8,1.8,82,1.65,-84.2,572
Dan Arnold,NOS,TE,24,2,15.4,0.9625,63,0.8,-71.9,523
Keith Kirkwood,NOS,WR,26,1,41.5,2.59375,92,0.8,-60.925,476
Jason Croom,BUF,TE,25,2,42.3,2.64375,34,1.45,-45,401
Greg Joseph,CLE,K,25,1,38,2.375,9,1,-1,140
Brett Maher,DAL,K,30,2,40,2.5,7,1.5,1,128
Ricky Ortiz,ATL,RB,25,2,1.2,0.075,110,0,-111.8,628
Tae Davis,NYG,LB,23,1,42,2.625,89,2.75,-90.33333333,593
David Grinnage,FA,TE,25,1,20.5,1.28125,57,0.5,-66.8,499
Mike Badgley,LAC,K,24,1,46,2.875,4,1,7,102
Tyler Lancaster,GBP,DT,25,1,28.5,1.78125,66,0.5,-45,401
Kyler Murray,ARI,QB,22,0,262.58,16.41125,19,7.56,-6.933333333,172
Drew Lock,DEN,QB,23,0,20.94,1.30875,40,1.76,-248.5733333,639
Dwayne Haskins,WAS,QB,22,0,130.5,8.15625,32,75.06,-139.0133333,631
Daniel Jones,NYG,QB,22,0,2.12,0.1325,59,0.27,-267.3933333,658
Will Grier,CAR,QB,24,0,22.16,1.385,39,1.79,-247.3533333,638
Gardner Minshew,JAC,QB,23,0,14.5,0.90625,45,3.53,-255.0133333,644
David Montgomery,CHI,RB,22,0,133.1,8.31875,31,11.35,20.1,70
Benny Snell,PIT,RB,21,0,14.2,0.8875,95,4.6,-98.8,612
Josh Jacobs,OAK,RB,21,0,160.3,10.01875,24,12.8,47.3,43
Damien Harris,NEP,RB,22,0,44,2.75,70,1.6,-69,509
Trayveon Williams,CIN,RB,22,0,9.8,0.6125,96,0.45,-103.2,614
Miles Sanders,PHI,RB,22,0,103.2,6.45,36,1.7,-9.8,185
Devin Singletary,BUF,RB,22,0,17.4,1.0875,92,1.6,-95.6,605
Myles Gaskin,MIA,RB,22,0,9.4,0.5875,97,0.25,-103.6,615
Tony Pollard,DAL,RB,0,0,4.4,0.275,106,1.05,-108.6,624
Justice Hill,BAL,RB,22,0,26.8,1.675,85,1.15,-86.2,579
Darrell Henderson,LAR,RB,22,0,75.2,4.7,54,4.15,-37.8,365
Rodney Anderson,CIN,RB,0,0,1.1,0.06875,111,0,-111.9,629
Ryquell Armstead,JAC,RB,0,0,23.3,1.45625,90,4.85,-89.7,591
Jordan Scarlett,CAR,RB,0,0,26.4,1.65,86,1.55,-86.6,582
N'Keal Harry,NEP,WR,22,0,75.4,4.7125,61,2.75,-27.025,298
DK Metcalf,SEA,WR,22,0,84.5,5.28125,51,1.3,-17.925,236
Riley Ridley,CHI,WR,23,0,8.2,0.5125,133,1,-94.225,602
A.J. Brown,TEN,WR,0,0,74.1,4.63125,62,3.25,-28.325,307
Marquise Brown,BAL,WR,22,0,54.5,3.40625,79,1.85,-47.925,423
Hakeem Butler,ARI,WR,23,0,39.5,2.46875,96,2,-62.925,483
JJ Arcega-Whiteside,PHI,WR,0,0,29.7,1.85625,107,1.8,-72.725,527
Terry McLaurin,WAS,WR,23,0,40.2,2.5125,95,0.7,-62.225,481
Parris Campbell,IND,WR,22,0,62.6,3.9125,72,4.15,-39.825,377
Mecole Hardman,KCC,WR,21,0,56.1,3.50625,77,1.4,-46.325,409
Gary Jennings,SEA,WR,0,0,8.8,0.55,130,0.35,-93.625,598
Andy Isabella,ARI,WR,0,0,68.4,4.275,66,1,-34.025,339
KeeSean Johnson,ARI,WR,23,0,8.6,0.5375,131,0.35,-93.825,599
Miles Boykin,BAL,WR,23,0,9.1,0.56875,129,0.4,-93.325,595
Deebo Samuel,SFO,WR,23,0,56.6,3.5375,76,1.1,-45.825,405
Noah Fant,DEN,TE,22,0,82.9,5.18125,16,2.5,-4.4,159
T.J. Hockenson,DET,TE,22,0,82.2,5.1375,17,4.45,-5.1,162
Jace Sternberger,GBP,TE,0,0,36.1,2.25625,41,3.25,-51.2,434
Irv Smith Jr.,MIN,TE,21,0,39.7,2.48125,38,0.2,-47.6,421
Caleb Wilson,ARI,TE,0,0,7.7,0.48125,67,0.2,-79.6,551
Nick Bosa,SFO,DE,22,0,86.5,5.40625,5,1.75,13,82
Rashan Gary,GBP,DE,22,0,34,2.125,58,0.5,-39.5,376
Clelin Ferrell,OAK,DE,22,0,71.5,4.46875,12,1,-2,144
Zach Allen,ARI,DE,22,0,39,2.4375,50,1,-34.5,342
L.J. Collier,SEA,DE,0,0,45,2.8125,43,2.75,-28.5,309
Quinnen Williams,NYJ,DT,22,0,57,3.5625,25,1.5,-16.5,227
Ed Oliver,BUF,DT,22,0,50,3.125,36,0.25,-23.5,276
Dexter Lawrence,NYG,DT,22,0,45.5,2.84375,42,1.75,-28,304
Christian Wilkins,MIA,DT,24,0,66,4.125,17,0.25,-7.5,176
Devin White,TBB,LB,21,0,132.5,8.28125,10,2,0.166666667,132
Mack Wilson,CLE,LB,21,0,39,2.4375,91,1,-93.33333333,596
Devin Bush,PIT,LB,21,0,129.5,8.09375,12,1.75,-2.833333333,151
Brian Burns,CAR,DE,21,0,60,3.75,22,1.75,-13.5,210
Chase Winovich,NEP,DE,24,0,50,3.125,82,1.5,-82.33333333,563
Greedy Williams,CLE,CB,22,0,66.5,4.15625,66,0.5,-42.66666667,387
Deandre Baker,NYG,CB,22,0,72.5,4.53125,58,0.5,-36.66666667,356
Johnathan Abram,OAK,S,23,0,114.5,7.15625,6,1.75,5.333333333,107
Nasir Adderley,LAC,S,22,0,87,5.4375,34,1,-22.16666667,267
Kahale Warring,HOU,TE,22,0,48.6,3.0375,32,4.15,-38.7,374
