Name,Team,Position,Age,Exp,Points,Pts-Game,Pos-Rank,Drop-Off,Points-VOR,Rank
Adrian Peterson,WAS,RB,34,12,102.2,6.3875,37,1.65,-10.8,190
Ted Ginn Jr.,NOS,WR,34,12,78.7,4.91875,57,0.2,-23.725,277
Greg Olsen,CAR,TE,34,12,88.5,5.53125,12,1.8,1.2,127
Drew Stanton,CLE,QB,35,12,1.8,0.1125,61,0.81,-267.7133333,660
Eric Weddle,LAR,S,34,12,90,5.625,29,0.5,-19.16666667,246
Brandon Mebane,LAC,DT,34,12,40,2.5,49,1,-33.5,336
Mason Crosby,GBP,K,35,12,41,2.5625,6,1,2,122
Matt Prater,DET,K,35,13,37,2.3125,10,0.5,-2,144
Lorenzo Alexander,BUF,LB,36,13,86.5,5.40625,46,0.75,-45.83333333,406
Calais Campbell,JAC,DE,33,11,93.5,5.84375,2,2.75,20,71
Joe Flacco,DEN,QB,34,11,202.96,12.685,28,10.58,-66.55333333,498
Chad Henne,KCC,QB,34,11,4.46,0.27875,55,1.46,-265.0533333,654
DeSean Jackson,PHI,WR,33,11,88.3,5.51875,47,0.45,-14.125,215
Matt Ryan,ATL,QB,34,11,284.34,17.77125,6,6.81,14.82666667,79
Aqib Talib,LAR,CB,33,11,60,3.75,73,0.5,-49.16666667,428
Danny Amendola,DET,WR,34,11,83.9,5.24375,52,1.85,-18.525,242
Steven Hauschka,BUF,K,34,2019,30,1.875,14,0,-9,183
Wesley Woodyard,TEN,LB,33,11,105,6.5625,32,2.25,-27.33333333,300
Cameron Wake,TEN,LB,37,10,51.5,3.21875,80,1,-80.83333333,556
Malcolm Jenkins,PHI,S,32,10,104,6.5,15,2.25,-5.166666667,163
Matthew Stafford,DET,QB,31,10,247,15.4375,22,15.52,-22.51333333,270
LeSean McCoy,BUF,RB,31,10,140.2,8.7625,28,5.1,27.2,61
Clay Matthews,LAR,LB,33,10,55.5,3.46875,75,0.5,-76.83333333,539
Patrick Chung,NEP,S,32,10,81.5,5.09375,42,0.5,-27.66666667,302
Jared Cook,NOS,TE,32,10,110.4,6.9,7,12.2,23.1,66
Jason McCourty,NEP,CB,32,10,85,5.3125,36,0.75,-24.16666667,283
Julian Edelman,NEP,WR,33,10,152.8,9.55,14,2.75,50.375,40
Ryan Succop,TEN,K,33,10,35,2.1875,12,3,-4,157
Graham Gano,CAR,K,32,10,37,2.3125,10,1.5,-2,144
Chase Daniel,CHI,QB,33,10,19.8,1.2375,41,2.34,-249.7133333,640
Michael Bennett,NEP,DE,34,10,50.5,3.15625,35,0.5,-23,273
Ndamukong Suh,TBB,DT,32,9,66,4.125,17,1.5,-7.5,176
Joe Haden,PIT,CB,30,9,66,4.125,67,1.75,-43.16666667,391
Carlos Dunlap,CIN,DE,30,9,73.5,4.59375,10,0.5,0,134
Brandon Graham,PHI,DE,31,9,65.5,4.09375,18,2.75,-8,179
Everson Griffen,MIN,DE,32,9,50,3.125,36,0.75,-23.5,276
Earl Thomas,BAL,S,30,9,106.5,6.65625,13,1,-2.666666667,150
Golden Tate,NYG,WR,31,9,108.9,6.80625,32,2.25,6.475,104
Jason Pierre-Paul,TBB,DE,30,9,41.5,2.59375,46,0.5,-32,326
Patrick Robinson,NOS,CB,32,9,59.5,3.71875,74,1,-49.66666667,430
Devin McCourty,NEP,S,32,9,92,5.75,25,0.75,-17.16666667,229
Jerry Hughes,BUF,DE,31,9,57.5,3.59375,24,1,-16,224
Kareem Jackson,DEN,CB,31,9,81,5.0625,43,0.75,-28.16666667,306
Morgan Burnett,CLE,S,30,9,96,6,21,0.75,-13.16666667,206
Sean Lee,DAL,LB,33,9,72.5,4.53125,59,0.75,-59.83333333,472
Geno Atkins,CIN,DT,31,9,52,3.25,32,0.75,-21.5,261
Demaryius Thomas,NEP,WR,32,9,20.5,1.28125,120,0.9,-81.925,562
Colt McCoy,WAS,QB,33,9,18.56,1.16,42,2.73,-250.9533333,641
Linval Joseph,MIN,DT,31,9,60.5,3.78125,21,1,-13,205
Ed Dickson,SEA,TE,32,9,22.6,1.4125,54,1.05,-64.7,488
Emmanuel Sanders,DEN,WR,32,9,105.7,6.60625,34,2,3.275,117
Corey Peters,ARI,DT,31,9,35.5,2.21875,56,0.5,-38,369
Jimmy Graham,GBP,TE,33,9,89.7,5.60625,11,2.05,2.4,119
Reshad Jones,MIA,S,31,9,112.5,7.03125,8,2.5,3.333333333,116
Antonio Brown,OAK,WR,31,9,177.1,11.06875,7,6.25,74.675,19
Logan Paulsen,ATL,TE,32,9,12.7,0.79375,65,4.3,-74.6,530
A.J. Green,CIN,WR,31,8,155.6,9.725,11,1.75,53.175,33
Blaine Gabbert,TBB,QB,30,8,15.3,0.95625,44,2.43,-254.2133333,643
Adrian Clayborn,ATL,DE,31,8,32,2,61,0,-41.5,383
Prince Amukamara,CHI,CB,30,8,75,4.6875,54,0,-34.16666667,340
Marcell Dareus,JAC,DT,30,8,30.5,1.90625,63,0.25,-43,389
Cameron Heyward,PIT,DE,30,8,71.5,4.46875,12,0,-2,144
Von Miller,DEN,LB,30,8,94.5,5.90625,40,2.75,-37.83333333,367
Robert Quinn,DAL,DE,29,8,46,2.875,41,0,-27.5,301
Julio Jones,ATL,WR,30,8,213,13.3125,2,10.5,110.575,7
J.J. Watt,HOU,DE,30,8,99.5,6.21875,1,6.25,26,62
Cam Newton,CAR,QB,30,8,262.78,16.42375,18,1.94,-6.733333333,171
Mark Ingram,BAL,RB,30,8,168.2,10.5125,19,2.15,55.2,31
Justin Houston,IND,DE,30,8,73,4.5625,58,0,-59.33333333,468
Ryan Kerrigan,WAS,LB,31,8,77,4.8125,54,0.5,-55.33333333,448
Torrey Smith,CAR,WR,30,8,21.1,1.31875,119,0.3,-81.325,559
Cameron Jordan,NOS,DE,30,8,88.5,5.53125,4,1,15,78
Jimmy Smith,BAL,CB,31,8,64,4,69,1,-45.16666667,402
Randall Cobb,DAL,WR,29,8,57.6,3.6,74,0.95,-44.825,398
Kyle Rudolph,MIN,TE,30,8,94.5,5.90625,10,5.4,7.2,101
Andy Dalton,CIN,QB,32,8,222.9,13.93125,25,15.27,-46.61333333,413
Jabaal Sheard,IND,DE,30,8,68,4.25,16,0,-5.5,165
Jurrell Casey,TEN,DE,30,8,74,4.625,9,0.25,0.5,131
Mason Foster,WAS,LB,30,8,125,7.8125,16,2.25,-7.333333333,175
K.J. Wright,SEA,LB,30,8,101.5,6.34375,34,2.5,-30.83333333,318
Dion Lewis,TEN,RB,29,8,98.3,6.14375,41,1.95,-14.7,219
Richard Sherman,SFO,CB,31,8,58.5,3.65625,75,1.75,-50.66666667,433
Charles Clay,ARI,TE,30,8,25.6,1.6,51,1.5,-61.7,479
Dwayne Harris,OAK,WR,32,8,4.6,0.2875,137,0,-97.825,610
Tyrod Taylor,LAC,QB,30,8,2.4,0.15,58,0.39,-267.1133333,657
Virgil Green,LAC,TE,31,8,24.2,1.5125,52,0.9,-63.1,484
Lawrence Guy,NEP,DT,29,8,47,2.9375,40,0,-26.5,293
Malcolm Smith,SFO,LB,30,8,48,3,84,0,-84.33333333,573
Dan Bailey,MIN,K,31,8,40,2.5,7,0,1,128
Mario Addison,CAR,DE,32,8,57.5,3.59375,24,0.25,-16,224
Chris Harris,DEN,CB,30,8,63,3.9375,70,0.5,-46.16666667,408
Andrew Luck,IND,QB,30,7,301.18,18.82375,4,15.36,31.66666667,56
Robert Griffin III,BAL,QB,29,7,7.34,0.45875,50,0.23,-262.1733333,649
Ryan Tannehill,TEN,QB,31,7,25.1,1.56875,38,3.55,-244.4133333,637
Nick Foles,JAC,QB,30,7,203.02,12.68875,27,0.9,-66.49333333,497
Kirk Cousins,MIN,QB,31,7,273.1,17.06875,11,2.55,3.586666667,115
Russell Wilson,SEA,QB,31,7,274.22,17.13875,10,1.82,4.706666667,111
Lamar Miller,HOU,RB,28,7,145.3,9.08125,27,7.55,32.3,54
Doug Martin,OAK,RB,30,7,36.7,2.29375,77,0.75,-76.3,535
Alshon Jeffery,PHI,WR,29,7,129.7,8.10625,22,2.5,27.275,60
Mohamed Sanu,ATL,WR,30,7,90.5,5.65625,43,1.25,-11.925,197
T.Y. Hilton,IND,WR,30,7,152.9,9.55625,13,1.05,50.475,38
Jarius Wright,CAR,WR,30,7,40.5,2.53125,94,0.65,-61.925,480
Travis Benjamin,LAC,WR,30,7,64.6,4.0375,70,1.05,-37.825,366
Marvin Jones,DET,WR,29,7,78.4,4.9,59,2.95,-24.025,282
Dwayne Allen,MIA,TE,29,7,33.1,2.06875,42,1.85,-54.2,442
Melvin Ingram,LAC,DE,30,7,69.5,4.34375,15,0.75,-4,157
Chandler Jones,ARI,LB,29,7,85.5,5.34375,48,5,-46.83333333,414
Whitney Mercilus,HOU,LB,29,7,50,3.125,82,0.5,-82.33333333,563
Vinny Curry,PHI,DE,31,7,32.5,2.03125,60,0.25,-41,382
Fletcher Cox,PHI,DT,29,7,66,4.125,17,0,-7.5,176
Michael Brockers,LAR,DE,29,7,45.5,2.84375,42,0,-28,304
Bruce Irvin,CAR,DE,32,7,55,3.4375,27,0.75,-18.5,241
Lavonte David,TBB,LB,29,7,145,9.0625,2,5,12.66666667,84
Vontaze Burfict,OAK,LB,29,7,71,4.4375,62,0.75,-61.33333333,477
Luke Kuechly,CAR,LB,28,7,139,8.6875,4,0.5,6.666666667,103
Dont'a Hightower,NEP,LB,29,7,74,4.625,57,1,-58.33333333,462
Bobby Wagner,SEA,LB,29,7,141,8.8125,3,2,8.666666667,97
Dre Kirkpatrick,CIN,CB,30,7,66.5,4.15625,66,0,-42.66666667,387
Janoris Jenkins,NYG,CB,31,7,87,5.4375,34,0,-22.16666667,267
Mark Barron,PIT,LB,30,7,79,4.9375,51,0.75,-53.33333333,439
Harrison Smith,MIN,S,30,7,107,6.6875,12,0.25,-2.166666667,146
Stephon Gilmore,NEP,CB,29,7,73.5,4.59375,56,0.5,-35.66666667,350
Casey Hayward,LAC,CB,30,7,69,4.3125,64,1,-40.16666667,380
Derek Wolfe,DEN,DE,29,7,50,3.125,36,0,-23.5,276
Mychal Kendricks,SEA,LB,29,7,89,5.5625,43,0.25,-43.33333333,393
Trumaine Johnson,NYJ,CB,29,7,81.5,5.09375,42,0,-27.66666667,302
Olivier Vernon,CLE,DE,29,7,51.5,3.21875,33,0.5,-22,266
Demario Davis,NOS,LB,30,7,118.5,7.40625,21,3.75,-13.83333333,213
Akiem Hicks,CHI,DE,30,7,74,4.625,9,0.75,0.5,131
Nigel Bradham,PHI,LB,30,7,97.5,6.09375,37,0.75,-34.83333333,343
Rhett Ellison,NYG,TE,31,7,27.9,1.74375,48,0.8,-59.4,469
Mike Daniels,GBP,DE,30,7,46,2.875,41,0.25,-27.5,301
Tahir Whitehead,OAK,LB,29,7,120.5,7.53125,19,1.25,-11.83333333,196
Brandon Marshall,OAK,LB,30,7,86,5.375,47,2.75,-46.33333333,410
Josh Norman,WAS,CB,32,7,86,5.375,35,0,-23.16666667,274
Randy Bullock,CIN,K,30,7,37,2.3125,10,0,-2,144
Greg Zuerlein,LAR,K,32,7,50,3.125,2,1,11,89
Danny Trevathan,CHI,LB,29,7,97.5,6.09375,37,1.75,-34.83333333,343
Brandon Bolden,NEP,RB,29,7,6,0.375,103,0.05,-107,621
Derek Carrier,OAK,TE,29,7,14.6,0.9125,64,0.95,-72.7,526
Case Keenum,WAS,QB,31,7,38.12,2.3825,35,12.11,-231.3933333,634
Cole Beasley,BUF,WR,30,7,54.9,3.43125,78,1.1,-47.525,420
Justin Tucker,BAL,K,30,7,38,2.375,9,0,-1,140
Chris Hogan,CAR,WR,31,8,52.2,3.2625,81,3.15,-50.225,432
Jamize Olawale,DAL,RB,30,7,2.5,0.15625,108,0.75,-110.5,626
L.J. Fort,PHI,LB,29,7,49,3.0625,83,1,-83.33333333,569
Garrett Celek,SFO,TE,31,7,6.4,0.4,71,1.95,-80.9,557
Tashaun Gipson,HOU,S,29,7,75,4.6875,54,0.5,-34.16666667,340
Rodney McLeod,PHI,S,29,7,88.5,5.53125,32,0,-20.66666667,255
Damon Harrison,DET,DT,31,7,68,4.25,16,1,-5.5,165
Patrick DiMarco,BUF,RB,30,8,7.5,0.46875,101,0.95,-105.5,619
James Develin,NEP,RB,31,9,5.7,0.35625,105,1.4,-107.3,623
Matt Barkley,BUF,QB,29,6,9.72,0.6075,48,2,-259.7933333,647
Mike Glennon,OAK,QB,30,6,3.4,0.2125,56,0.9,-266.1133333,655
Andre Ellington,TBB,RB,30,6,53.6,3.35,65,6.1,-59.4,470
Kenjon Barner,ATL,RB,30,6,8.6,0.5375,100,1.3,-104.4,618
Rex Burkhead,NEP,RB,29,6,44.4,2.775,69,0.95,-68.6,506
Chris Thompson,WAS,RB,29,6,75.7,4.73125,53,1.55,-37.3,361
Theo Riddick,DET,RB,28,6,83.2,5.2,50,5.65,-29.8,316
Le'Veon Bell,NYJ,RB,27,6,207.9,12.99375,7,1.95,94.9,11
Giovani Bernard,CIN,RB,28,6,73.1,4.56875,55,4.55,-39.9,378
Spencer Ware,IND,RB,28,6,9.3,0.58125,98,0.5,-103.7,616
Tavon Austin,DAL,WR,28,6,25,1.5625,112,0.4,-77.425,542
Keenan Allen,LAC,WR,27,6,159.5,9.96875,10,4.3,57.075,29
Cordarrelle Patterson,CHI,WR,28,6,33.3,2.08125,102,0.4,-69.125,510
Kenny Stills,MIA,WR,27,6,89.8,5.6125,44,1.2,-12.625,202
Robert Woods,LAR,WR,27,6,149.2,9.325,16,6.45,46.775,44
DeAndre Hopkins,HOU,WR,27,6,220.6,13.7875,1,11.05,118.175,6
Russell Shepard,NYG,WR,29,6,23.5,1.46875,115,0.95,-78.925,548
Marquise Goodwin,SFO,WR,29,6,80.5,5.03125,55,1,-21.925,265
Travis Kelce,KCC,TE,30,6,172.8,10.8,1,20.2,85.5,15
Zach Ertz,PHI,TE,29,6,137.7,8.60625,3,15.7,50.4,39
Jordan Reed,WAS,TE,29,6,76.9,4.80625,19,1.8,-10.4,188
Tyler Eifert,CIN,TE,29,6,59.5,3.71875,28,5.05,-27.8,303
Vance McDonald,PIT,TE,29,6,85.7,5.35625,15,3.15,-1.6,142
Alex Okafor,KCC,DE,28,6,47,2.9375,40,0.5,-26.5,293
Ezekiel Ansah,SEA,DE,30,6,71,4.4375,13,1.25,-2.5,148
Margus Hunt,IND,DT,32,6,48.5,3.03125,39,1.5,-25,289
Sheldon Richardson,CLE,DT,29,6,45.5,2.84375,42,0,-28,304
Alec Ogletree,NYG,LB,28,6,127,7.9375,14,1,-5.333333333,164
Barkevious Mingo,SEA,LB,29,6,46,2.875,85,0,-86.33333333,581
Kiko Alonso,MIA,LB,29,6,128.5,8.03125,13,2,-3.833333333,156
Desmond Trufant,ATL,CB,29,6,74,4.625,55,0,-35.16666667,345
Tyrann Mathieu,KCC,S,27,6,107,6.6875,12,1,-2.166666667,146
Xavier Rhodes,MIN,CB,29,6,81.5,5.09375,42,0.25,-27.66666667,302
Logan Ryan,TEN,CB,28,6,73,4.5625,57,0.25,-36.16666667,352
Jordan Poyer,BUF,S,28,6,112,7,9,4.25,2.833333333,118
Eric Reid,CAR,S,28,6,89.5,5.59375,30,0.25,-19.66666667,248
Kenny Vaccaro,TEN,S,28,6,78.5,4.90625,47,0.25,-30.66666667,317
T.J. McDonald,MIA,S,28,6,84.5,5.28125,37,0.5,-24.66666667,287
Tony Jefferson,BAL,S,27,6,83,5.1875,39,0.25,-26.16666667,292
Shawn Williams,CIN,S,28,6,101,6.3125,18,2.75,-8.166666667,180
Kawann Short,CAR,DT,30,6,56,3.5,26,1.25,-17.5,232
Giorgio Tavecchio,ATL,K,29,7,40,2.5,7,0.5,1,128
D.J. Hayden,JAC,CB,29,6,64.5,4.03125,68,1,-44.66666667,397
Darius Slay,DET,CB,28,6,79.5,4.96875,46,0.5,-29.66666667,315
D.J. Swearinger,ARI,S,28,6,81,5.0625,43,0,-28.16666667,306
Robert Alford,ARI,CB,31,6,77.5,4.84375,49,0.5,-31.66666667,324
Brandon Williams,BAL,DT,30,6,38.5,2.40625,51,1,-35,344
Kyle Juszczyk,SFO,RB,28,6,46.7,2.91875,67,1.4,-66.3,496
A.J. Klein,NOS,LB,28,6,67.5,4.21875,65,0.25,-64.83333333,490
Luke Willson,OAK,TE,29,6,7.7,0.48125,67,0.05,-79.6,551
Micah Hyde,BUF,S,29,6,72,4.5,59,0,-37.16666667,360
Dustin Hopkins,WAS,K,29,6,27,1.6875,15,0,-12,198
Latavius Murray,NOS,RB,29,6,100.8,6.3,38,0.75,-12.2,199
Vince Williams,PIT,LB,30,6,87.5,5.46875,45,1,-44.83333333,399
Brice Butler,MIA,WR,29,6,12.5,0.78125,128,3.55,-89.925,592
Benny Cunningham,JAC,RB,29,6,31.4,1.9625,81,3.4,-81.6,561
Demetrius Harris,CLE,TE,28,6,21.6,1.35,55,0.6,-65.7,493
C.J. Anderson,DET,RB,28,6,36.2,2.2625,78,2.25,-76.8,537
Jaron Brown,SEA,WR,29,6,19.6,1.225,121,0.2,-82.825,565
Paul Worrilow,PHI,LB,29,6,46,2.875,85,0.5,-86.33333333,581
Benson Mayowa,OAK,DE,28,6,41,2.5625,47,0.25,-32.5,329
A.J. Bouye,JAC,CB,28,6,76.5,4.78125,51,0.5,-32.66666667,330
Jack Doyle,IND,TE,29,6,67.5,4.21875,24,3.65,-19.8,249
Bradley McDougald,SEA,S,29,6,95,5.9375,23,2,-14.16666667,216
Josh Hill,NOS,TE,29,6,18.9,1.18125,60,1.35,-68.4,505
Rashaan Melvin,DET,CB,30,2019,69,4.3125,64,2.25,-40.16666667,380
Jeff Heath,DAL,S,28,6,81,5.0625,43,0.25,-28.16666667,306
Teddy Bridgewater,NOS,QB,27,5,7.06,0.44125,52,1.06,-262.4533333,651
Blake Bortles,LAR,QB,28,5,8.1,0.50625,49,0.85,-261.4133333,648
A.J. McCarron,HOU,QB,29,5,7.16,0.4475,51,0.53,-262.3533333,650
Derek Carr,OAK,QB,28,5,236.06,14.75375,23,11.16,-33.45333333,335
Carlos Hyde,KCC,RB,29,5,89.1,5.56875,46,4.1,-23.9,280
Devonta Freeman,ATL,RB,27,5,172.6,10.7875,15,1.95,59.6,26
Sammy Watkins,KCC,WR,26,5,121.3,7.58125,27,3.15,18.875,73
Mike Evans,TBB,WR,26,5,178,11.125,6,2,75.575,18
Marqise Lee,JAC,WR,28,5,87.6,5.475,49,1.95,-14.825,220
Brandin Cooks,LAR,WR,26,5,139.6,8.725,20,8.75,37.175,51
Davante Adams,GBP,WR,27,5,206.1,12.88125,3,13.25,103.675,8
Jordan Matthews,SFO,WR,27,5,30.6,1.9125,105,0.75,-71.825,521
Donte Moncrief,PIT,WR,26,5,70.5,4.40625,64,1.3,-31.925,325
Allen Robinson,CHI,WR,26,5,120.6,7.5375,28,6.6,18.175,74
Odell Beckham,CLE,WR,27,5,166.8,10.425,9,9.25,64.375,24
Jarvis Landry,CLE,WR,27,5,111.9,6.99375,31,3,9.475,92
Paul Richardson,WAS,WR,27,5,53.1,3.31875,80,1.75,-49.325,429
Eric Ebron,IND,TE,26,5,116.6,7.2875,6,11.45,29.3,59
Xavier Grimble,PIT,TE,27,5,17.4,1.0875,62,2.4,-69.9,514
Trey Burton,CHI,TE,28,5,78.6,4.9125,18,2.05,-8.7,182
Jadeveon Clowney,HOU,LB,26,5,76,4.75,55,1.75,-56.33333333,452
Stephon Tuitt,PIT,DE,26,5,51,3.1875,34,0,-22.5,269
Trent Murphy,BUF,DE,29,5,49.5,3.09375,37,0.75,-24,281
Dee Ford,SFO,DE,28,5,62,3.875,20,1.75,-11.5,194
Anthony Barr,MIN,LB,27,5,78,4.875,53,0,-54.33333333,443
Khalil Mack,CHI,LB,28,5,104,6.5,33,3.5,-28.33333333,308
Kyle Van Noy,NEP,LB,28,5,89.5,5.59375,42,0.5,-42.83333333,388
Christian Jones,DET,LB,28,5,72,4.5,60,0.75,-60.33333333,473
C.J. Mosley,NYJ,LB,27,5,126,7.875,15,0.5,-6.333333333,169
Bradley Roby,HOU,CB,27,5,60.5,3.78125,72,0,-48.66666667,426
Darqueze Dennard,CIN,CB,28,5,75,4.6875,54,1,-34.16666667,340
Ha Ha Clinton-Dix,CHI,S,27,5,102,6.375,16,0.75,-7.166666667,174
Lamarcus Joyner,OAK,S,29,5,82,5.125,41,0.25,-27.16666667,299
James White,NEP,RB,27,5,149.6,9.35,25,4.25,36.6,52
Aaron Donald,LAR,DE,28,5,93,5.8125,3,4.5,19.5,72
Cody Latimer,NYG,WR,27,5,6.6,0.4125,136,0,-95.825,607
Jimmy Garoppolo,SFO,QB,28,5,183.48,11.4675,30,46.16,-86.03333333,578
Jerick McKinnon,SFO,RB,27,5,86.1,5.38125,47,2.3,-26.9,296
Kyle Fuller,CHI,CB,27,5,91,5.6875,27,0.25,-18.16666667,237
Deone Bucannon,TBB,LB,27,5,78.5,4.90625,52,0.5,-53.83333333,440
Demarcus Lawrence,DAL,DE,27,5,69.5,4.34375,15,1.5,-4,157
Christian Kirksey,CLE,LB,27,5,120,7.5,20,3.25,-12.33333333,201
Preston Brown,CIN,LB,27,5,98.5,6.15625,36,1,-33.83333333,338
John Brown,BUF,WR,29,5,90.7,5.66875,42,0.55,-11.725,195
Bashaud Breeland,KCC,CB,27,5,80.5,5.03125,44,0.75,-28.66666667,310
DaQuan Jones,TEN,DE,28,5,28,1.75,67,0,-45.5,403
Anthony Hitchens,KCC,LB,27,5,108.5,6.78125,29,0.75,-23.83333333,279
Pierre Desir,IND,CB,29,5,59.5,3.71875,74,0.5,-49.66666667,430
Ryan Grant,OAK,WR,29,5,34.5,2.15625,100,1.05,-67.925,502
Ricardo Allen,ATL,S,28,5,71,4.4375,61,0.75,-38.16666667,370
Avery Williamson,NYJ,LB,27,5,111,6.9375,26,1,-21.33333333,260
Chris Smith,CLE,DE,27,5,28,1.75,67,0.25,-45.5,403
Devon Kennard,DET,LB,28,5,60,3.75,73,3,-72.33333333,524
Alfred Blue,JAC,RB,28,5,46.2,2.8875,68,2,-66.8,499
Quincy Enunwa,NYJ,WR,27,5,79.5,4.96875,56,0.4,-22.925,272
Travis Carrie,CLE,CB,29,5,74,4.625,55,0,-35.16666667,345
Shelby Harris,DEN,DT,28,5,42,2.625,45,0,-31.5,323
Damien Williams,KCC,RB,27,5,183.1,11.44375,13,9.5,70.1,23
Albert Wilson,MIA,WR,27,5,59.3,3.70625,73,2.15,-43.125,390
Allen Hurns,DAL,WR,28,5,8.3,0.51875,132,0.35,-94.125,601
Chris Boswell,PIT,K,30,5,44,2.75,5,0,5,110
Adam Thielen,MIN,WR,29,5,174.9,10.93125,8,11.75,72.475,22
Cairo Santos,TBB,K,28,5,37,2.3125,10,0,-2,144
Brandon McManus,DEN,K,28,5,38,2.375,9,0.5,-1,140
Willie Snead,BAL,WR,27,5,88.3,5.51875,47,0.1,-14.125,215
Daniel Sorensen,KCC,S,29,5,70.5,4.40625,62,1,-38.66666667,373
Chandler Catanzaro,NYJ,K,28,5,32,2,13,0,-7,173
Malcolm Butler,TEN,CB,29,5,84,5.25,38,0,-25.16666667,290
Taylor Gabriel,CHI,WR,28,5,75.5,4.71875,60,0.75,-26.925,297
Kerry Wynn,CIN,DE,28,5,26,1.625,71,0,-47.5,419
Denico Autry,IND,DT,29,2019,54.5,3.40625,28,1,-19,245
Todd Davis,DEN,LB,27,5,112,7,25,0.5,-20.33333333,253
Cameron Brate,TBB,TE,28,5,40.9,2.55625,35,0.4,-46.4,411
Jameis Winston,TBB,QB,25,4,263.3,16.45625,17,0.62,-6.213333333,167
Marcus Mariota,TEN,QB,26,4,212.24,13.265,26,9.25,-57.27333333,456
Brett Hundley,ARI,QB,26,4,5.8,0.3625,54,1.87,-263.7133333,653
Todd Gurley,LAR,RB,25,4,204.2,12.7625,9,8.9,91.2,13
Melvin Gordon,LAC,RB,26,4,235.2,14.7,4,10.4,122.2,4
Tevin Coleman,SFO,RB,26,4,121.6,7.6,33,3.7,8.6,98
T.J. Yeldon,BUF,RB,26,4,48.3,3.01875,66,1.85,-64.7,489
Duke Johnson,CLE,RB,26,4,83.7,5.23125,49,3.25,-29.3,313
Cameron Artis-Payne,CAR,RB,29,4,24,1.5,89,2.6,-89,588
Mike Davis,CHI,RB,26,4,69,4.3125,56,2.1,-44,396
David Johnson,ARI,RB,28,4,207.7,12.98125,8,3.85,94.7,12
Malcom Brown,NOS,DT,25,4,42,2.625,45,0.25,-31.5,323
Amari Cooper,DAL,WR,25,4,142.9,8.93125,17,1.5,40.475,46
DeVante Parker,MIA,WR,26,4,96.5,6.03125,39,2.3,-5.925,166
Nelson Agholor,PHI,WR,26,4,88.7,5.54375,45,0.3,-13.725,212
Jamison Crowder,NYJ,WR,26,4,68,4.25,67,1.75,-34.425,341
Justin Hardy,ATL,WR,28,4,24.6,1.5375,113,0.05,-77.825,543
Stefon Diggs,MIN,WR,26,4,142.6,8.9125,18,2.7,40.175,47
Tyler Lockett,SEA,WR,27,4,150.9,9.43125,15,4.85,48.475,42
Phillip Dorsett,NEP,WR,26,4,45.9,2.86875,85,0.05,-56.525,453
Breshad Perriman,TBB,WR,26,4,43.4,2.7125,91,2.2,-59.025,467
Devin Funchess,IND,WR,25,4,82.5,5.15625,53,1.45,-19.925,250
Jeff Heuerman,DEN,TE,27,4,17.7,1.10625,61,1.3,-69.6,512
Jesse James,DET,TE,25,4,32.6,2.0375,43,3.2,-54.7,445
Tyler Kroft,BUF,TE,27,4,29.9,1.86875,44,1.1,-57.4,457
Blake Bell,KCC,TE,28,4,20.5,1.28125,57,0.1,-66.8,499
Dante Fowler,LAR,LB,25,4,48,3,84,1,-84.33333333,573
Arik Armstead,SFO,DE,25,4,29.5,1.84375,65,1.25,-44,396
Mario Edwards,NOS,DE,0,4,27,1.6875,69,0.75,-46.5,412
Eli Harold,BUF,DE,25,4,35,2.1875,94,0,-97.33333333,609
Danielle Hunter,MIN,DE,25,4,88.5,5.53125,4,2.25,15,78
Trey Flowers,DET,DE,26,4,75,4.6875,8,1,1.5,125
Leonard Williams,NYJ,DE,25,4,49,3.0625,38,1.25,-24.5,286
Vic Beasley,ATL,DE,27,4,53,3.3125,30,0.75,-20.5,254
Shaq Thompson,CAR,LB,25,4,64,4,67,0.5,-68.33333333,504
Jake Ryan,JAC,LB,27,4,73,4.5625,58,0.25,-59.33333333,468
Kwon Alexander,SFO,LB,25,4,115,7.1875,22,0.75,-17.33333333,231
Bud Dupree,PIT,LB,26,4,51,3.1875,81,1,-81.33333333,560
Denzel Perryman,LAC,LB,26,4,77,4.8125,54,1.75,-55.33333333,448
Eric Kendricks,MIN,LB,27,4,110.5,6.90625,27,1.5,-21.83333333,264
Marcus Peters,LAR,CB,26,4,95.5,5.96875,22,1,-13.66666667,211
Trae Waynes,MIN,CB,27,4,60.5,3.78125,72,0.25,-48.66666667,426
Landon Collins,WAS,S,25,4,122,7.625,3,3.25,12.83333333,83
Chris Conley,JAC,WR,27,4,47.5,2.96875,84,1.6,-54.925,447
Ty Montgomery,NYJ,RB,26,4,24.9,1.55625,87,0.5,-88.1,585
Darren Waller,OAK,TE,27,4,61.5,3.84375,26,1.5,-25.8,291
Zach Zenner,DET,RB,28,4,24.8,1.55,88,1.15,-88.2,586
Byron Jones,DAL,CB,27,4,84,5.25,38,0,-25.16666667,290
Damarious Randall,CLE,S,27,4,101.5,6.34375,17,1,-7.666666667,177
Preston Smith,GBP,LB,27,4,62.5,3.90625,70,1.5,-69.83333333,513
Eddie Goldman,CHI,DT,25,4,42,2.625,45,0.5,-31.5,323
Benardrick McKinney,HOU,LB,27,4,89,5.5625,43,1,-43.33333333,393
Jaquiski Tartt,SFO,S,27,4,100,6.25,19,3.75,-9.166666667,184
