Name,Team,Position,Age,Exp,Points,Pts-Game,Pos-Rank,Drop-Off,Points-VOR,Rank
Kwon Alexander,SFO,LB,25,4,126.15,7.884375,10,1.85,0.15,95
Bud Dupree,PIT,LB,26,4,51.5,3.21875,80,10.45,-74.5,405
Denzel Perryman,LAC,LB,26,4,64.15,4.009375,68,0.9,-61.85,379
Landon Collins,WAS,S,25,4,124.55,7.784375,3,2.85,10.1,63
Ty Montgomery,NYJ,RB,26,4,1.87,0.116875,92,0.66,-128.93,453
Byron Jones,DAL,CB,27,4,85.85,5.365625,62,0.325,-28.6,272
Damarious Randall,CLE,S,27,4,120.3,7.51875,5,1.825,5.85,74
Benardrick McKinney,HOU,LB,27,4,104.5,6.53125,28,1,-21.5,221
Jaquiski Tartt,SFO,S,27,4,84.1,5.25625,66,1.025,-30.35,287
Markus Golden,NYG,LB,28,4,67.9,4.24375,65,1.975,-58.1,374
Henry Anderson,NYJ,DE,28,4,50,3.125,63,1.475,-32.38333333,299
Clayton Geathers,IND,S,27,4,110.1,6.88125,17,1.625,-4.35,118
Za'Darius Smith,GBP,LB,27,4,52.5,3.28125,79,3.75,-73.5,403
Grady Jarrett,ATL,DT,26,4,58.5,3.65625,44,0.525,-23.88333333,236
Quandre Diggs,DET,S,28,4,103.75,6.484375,27,0.7,-10.7,154
Geoff Swaim,JAC,TE,26,4,43.8,2.7375,40,2.55,-50.56666667,356
Trevor Siemian,NYJ,QB,28,4,0,0,35,0,-283.1866667,462
Rod Smith,NYG,RB,27,4,0,0,96,0,-130.8,457
Raheem Mostert,SFO,RB,27,4,0,0,96,0,-130.8,457
Quinton Dunbar,WAS,CB,27,4,102.1,6.38125,31,0.175,-12.35,164
Taylor Heinicke,CAR,QB,26,4,0,0,35,0,-283.1866667,462
Carson Wentz,PHI,QB,27,3,288.28,18.0175,11,4.25,5.093333333,77
Paxton Lynch,SEA,QB,25,3,0,0,35,0,-283.1866667,462
Cardale Jones,LAC,QB,27,3,0,0,35,0,-283.1866667,462
Jacoby Brissett,IND,QB,27,3,0,0,35,0,-283.1866667,462
Cody Kessler,PHI,QB,26,3,0,0,35,0,-283.1866667,462
Kevin Hogan,DEN,QB,27,3,0,0,35,0,-283.1866667,462
Dak Prescott,DAL,QB,26,3,283.76,17.735,13,4.63,0.573333333,91
Ezekiel Elliott,DAL,RB,24,3,277.7,17.35625,2,36,146.9,2
Derrick Henry,TEN,RB,25,3,204.1,12.75625,14,4.5,73.3,15
Devontae Booker,DEN,RB,27,3,52.2,3.2625,65,5.4,-78.6,410
Kenyan Drake,MIA,RB,25,3,181.6,11.35,22,3.75,50.8,26
Paul Perkins,NYG,RB,25,3,0,0,96,0,-130.8,457
Kenneth Dixon,BAL,RB,25,3,63.16,3.9475,60,6.16,-67.64,397
Jonathan Williams,IND,RB,25,3,0,0,96,0,-130.8,457
Wendell Smallwood,PHI,RB,25,3,58.8,3.675,61,3.95,-72,402
Peyton Barber,TBB,RB,25,3,127.6,7.975,35,2.05,-3.2,115
Hunter Henry,LAC,TE,25,3,125.6,7.85,5,6.75,31.23333333,34
Austin Hooper,ATL,TE,25,3,86.3,5.39375,18,5.35,-8.066666667,137
Joey Bosa,LAC,DE,24,3,105.6,6.6,1,3.125,23.21666667,41
DeForest Buckner,SFO,DT,25,3,74.1,4.63125,17,0.225,-8.283333333,138
Emmanuel Ogbah,KCC,DE,26,3,49.15,3.071875,64,1.95,-33.23333333,306
Jarran Reed,SEA,DT,26,3,61.15,3.821875,37,1.025,-21.23333333,220
Jaylon Smith,DAL,LB,24,3,127,7.9375,9,1.5,1,87
Myles Jack,JAC,LB,24,3,105.1,6.56875,27,0.85,-20.9,217
Reggie Ragland,KCC,LB,26,3,76.9,4.80625,59,0.775,-49.1,352
Karl Joseph,OAK,S,26,3,69,4.3125,80,2.55,-45.45,345
Vonn Bell,NOS,S,25,3,105.8,6.6125,22,0.3,-8.65,143
Keanu Neal,ATL,S,24,3,123.1,7.69375,4,3.175,8.65,67
Xavien Howard,MIA,CB,26,3,74.05,4.628125,76,1.15,-40.4,333
Kamalei Correa,TEN,LB,25,3,55.4,3.4625,77,0.2,-70.6,399
Deion Jones,ATL,LB,25,3,138.9,8.68125,5,5.85,12.9,60
Cyrus Jones,BAL,CB,26,3,8.5,0.53125,85,2.4,-105.95,431
Yannick Ngakoue,JAC,DE,24,3,63.5,3.96875,31,0.425,-18.88333333,207
Kyler Fackrell,GBP,LB,28,3,60.5,3.78125,72,1.325,-65.5,389
Javon Hargrave,PIT,DT,26,3,51.5,3.21875,61,1.075,-30.88333333,292
B.J. Goodson,NYG,LB,26,3,59.85,3.740625,73,1.4,-66.15,392
De'Vondre Campbell,ATL,LB,26,3,83.4,5.2125,56,2.775,-42.6,339
Willie Henry,BAL,DE,25,3,43.9,2.74375,70,1.325,-38.48333333,326
Nate Sudfeld,PHI,QB,26,3,0,0,35,0,-283.1866667,462
Jake Rudock,MIA,QB,26,3,0,0,35,0,-283.1866667,462
Kamu Grugier-Hill,PHI,LB,25,3,98.45,6.153125,40,0.775,-27.55,267
Elandon Roberts,NEP,LB,25,3,61.4,3.8375,70,0.275,-64.6,387
Darius Jackson,DAL,RB,26,3,0,0,96,0,-130.8,457
Will Parks,DEN,S,25,3,73.35,4.584375,77,2.45,-41.1,336
Dwayne Washington,NOS,RB,25,3,14.38,0.89875,79,6.895,-116.42,440
DeAndre Washington,OAK,RB,26,3,36.58,2.28625,70,5.565,-94.22,422
Ka'imi Fairbairn,HOU,K,25,3,140,8.75,3,1.15,6.466666667,72
Ross Travis,IND,TE,26,4,0,0,63,0,-94.36666667,423
Jarrod Wilson,JAC,S,25,3,82.1,5.13125,70,0.175,-32.35,298
Jalen Richard,OAK,RB,26,3,103.1,6.44375,44,2.65,-27.7,268
Troymaine Pope,LAC,RB,26,3,0,0,96,0,-130.8,457
Wil Lutz,NOS,K,25,3,133.8,8.3625,7,0.4,0.266666667,93
Olsen Pierre,NYG,DT,28,3,47.9,2.99375,65,1.725,-34.48333333,309
Cory Littleton,LAR,LB,26,3,117.5,7.34375,13,0.975,-8.5,140
Tra Carson,GBP,RB,27,3,0,0,96,0,-130.8,457
J.D. McKissic,SEA,RB,26,3,52.9,3.30625,64,1.5,-77.9,409
Deshaun Watson,HOU,QB,24,2,316.6,19.7875,3,6.8,33.41333333,33
DeShone Kizer,GBP,QB,23,2,0,0,35,0,-283.1866667,462
Mitchell Trubisky,CHI,QB,25,2,297.32,18.5825,8,7.405,14.13333333,59
Joshua Dobbs,PIT,QB,24,2,0,0,35,0,-283.1866667,462
Davis Webb,NYJ,QB,24,2,0,0,35,0,-283.1866667,462
Cooper Rush,DAL,QB,26,2,0,0,35,0,-283.1866667,462
Nathan Peterman,OAK,QB,25,2,0,0,35,0,-283.1866667,462
Dalvin Cook,MIN,RB,24,2,221.5,13.84375,10,5.45,90.7,10
Alvin Kamara,NOS,RB,23,2,248.3,15.51875,3,13.6,117.5,3
Samaje Perine,WAS,RB,24,2,0,0,96,0,-130.8,457
