Name,Team,Position,Age,Exp,Points,Pts-Game,Pos-Rank,Drop-Off,Points-VOR,Rank
Rashaan Evans,TEN,LB,23,1,93.25,5.828125,47,1.675,-32.75,302
Harold Landry,TEN,LB,23,1,65.85,4.115625,67,1.7,-60.15,378
Josey Jewell,DEN,LB,25,1,78.85,4.928125,58,2.325,-47.15,349
Uchenna Nwosu,LAC,LB,23,1,70.15,4.384375,63,2.075,-55.85,364
Jerome Baker,MIA,LB,23,1,96.4,6.025,44,0.375,-29.6,283
Minkah Fitzpatrick,MIA,S,23,1,108.9,6.80625,18,0.95,-5.55,125
Derwin James,LAC,S,23,1,130.85,8.178125,2,7.025,16.4,52
Ronnie Harrison,JAC,S,22,1,105.6,6.6,23,0.275,-8.85,144
Daniel Carlson,OAK,K,24,1,123,7.6875,20,1.85,-10.53333333,151
Da'Ron Payne,WAS,DT,22,1,69.35,4.334375,24,2.725,-13.03333333,169
Leighton Vander Esch,DAL,LB,22,1,151.1,9.44375,3,8.875,25.1,40
Jaire Alexander,GBP,CB,22,1,103.9,6.49375,26,0.3,-10.55,152
Jessie Bates,CIN,S,22,1,114.4,7.15,10,0.95,-0.05,97
Donte Jackson,CAR,CB,24,1,95.1,5.94375,48,0.575,-19.35,209
Fred Warner,SFO,LB,23,1,106.1,6.63125,26,1.3,-19.9,214
Tracy Walker,DET,S,24,1,85.65,5.353125,63,0.45,-28.8,275
Oren Burks,GBP,LB,24,1,85.4,5.3375,54,1.825,-40.6,335
Kyzir White,LAC,LB,23,1,83.75,5.234375,55,0.85,-42.25,338
Armani Watts,KCC,S,23,1,61.25,3.828125,83,50.45,-53.2,361
Ito Smith,ATL,RB,24,1,85.7,5.35625,50,1.675,-45.1,343
Dalton Schultz,DAL,TE,23,1,28.7,1.79375,51,0.65,-65.66666667,390
Tre Flowers,SEA,CB,24,1,89.75,5.609375,57,0.225,-24.7,244
Genard Avery,CLE,LB,24,1,76.1,4.75625,61,4.825,-49.9,355
Tremon Smith,KCC,CB,23,1,6,0.375,87,0,-108.45,435
Boston Scott,PHI,RB,24,1,0,0,96,0,-130.8,457
