Name,Team,Position,Age,Exp,Points,Pts-Game,Pos-Rank,Drop-Off,Floor,Points-VOR,Rank
Chris Ivory,FA,RB,31,9,140.2,8.7625,23,10.8,140.2,60.06666667,37
A.J. Green,CIN,WR,31,8,176.7,11.04375,5,2.4,176.7,72.86666667,27
Blaine Gabbert,TBB,QB,30,8,123.96,7.7475,26,38.5,123.96,-85.90666667,251
Julio Jones,ATL,WR,30,8,181.3,11.33125,3,3.8,181.3,77.46666667,22
Cam Newton,CAR,QB,30,8,192.12,12.0075,19,1.66,192.12,-17.74666667,150
Mark Ingram,BAL,RB,30,8,125.4,7.8375,26,15.75,125.4,45.26666667,48
Torrey Smith,CAR,WR,30,8,149.6,9.35,16,3.35,149.6,45.76666667,47
Colin Kaepernick,FA,QB,32,8,168.84,10.5525,23,26.18,168.84,-41.02666667,200
Jacquizz Rodgers,FA,RB,29,8,70.5,4.40625,42,5.4,70.5,-9.633333333,137
DeMarco Murray,FA,RB,31,8,157.4,9.8375,17,2.55,157.4,77.26666667,23
Shane Vereen,FA,RB,30,8,130.1,8.13125,24,3.05,130.1,49.96666667,44
Randall Cobb,DAL,WR,29,8,170.7,10.66875,8,2.95,170.7,66.86666667,33
Kyle Rudolph,MIN,TE,30,8,102.2,6.3875,7,3.8,102.2,15.3,73
Andy Dalton,CIN,QB,32,8,215.48,13.4675,11,4.64,215.48,5.613333333,89
Stevan Ridley,FA,RB,30,8,183.2,11.45,13,12.7,183.2,103.0666667,14
Luke Stocker,ATL,TE,31,8,54.8,3.425,27,8.85,54.8,-32.1,178
Bilal Powell,NYJ,RB,31,8,71.5,4.46875,40,0.95,71.5,-8.633333333,134
Jeremy Kerley,FA,WR,31,8,91.9,5.74375,42,2.1,91.9,-11.93333333,144
Charles Clay,ARI,TE,30,8,42.5,2.65625,30,3,42.5,-44.4,205
Dwayne Harris,OAK,WR,32,8,47.1,2.94375,66,2.6,47.1,-56.73333333,225
Virgil Green,LAC,TE,31,8,21.6,1.35,39,0,21.6,-65.3,239
Kai Forbath,FA,K,32,8,44,2.75,5,0,44,4.285714286,93
Terrelle Pryor,JAC,WR,30,8,76.72,4.795,28,29.5,76.72,-133.1466667,253
Dan Bailey,MIN,K,31,8,44,2.75,5,0.5,44,4.285714286,93
Doug Baldwin,FA,WR,31,8,62.2,3.8875,62,1.9,62.2,-41.63333333,202
Andrew Luck,IND,QB,30,7,227.24,14.2025,8,6.42,227.24,17.37333333,70
Robert Griffin III,BAL,QB,29,7,189.32,11.8325,22,33.26,189.32,-20.54666667,157
Ryan Tannehill,TEN,QB,31,7,190.52,11.9075,20,0.66,190.52,-19.34666667,153
Brandon Weeden,HOU,QB,36,7,206.84,12.9275,15,1.14,206.84,-3.026666667,118
Nick Foles,JAC,QB,30,7,46.16,2.885,30,12.92,46.16,-163.7066667,255
Kirk Cousins,MIN,QB,31,7,16.92,1.0575,34,7.44,16.92,-192.9466667,259
Russell Wilson,SEA,QB,31,7,190.4,11.9,21,11.32,190.4,-19.46666667,154
Lamar Miller,HOU,RB,28,7,167.6,10.475,15,5.95,167.6,87.46666667,17
Doug Martin,OAK,RB,30,7,248.5,15.53125,2,13,248.5,168.3666667,2
Robert Turbin,FA,RB,30,7,51.4,3.2125,49,7.25,51.4,-28.73333333,173
Kendall Wright,FA,WR,30,7,100.1,6.25625,39,4.1,100.1,-3.733333333,123
Michael Floyd,BAL,WR,30,7,111.1,6.94375,33,4.6,111.1,7.266666667,87
Alshon Jeffery,PHI,WR,29,7,106.4,6.65,35,3.85,106.4,2.566666667,98
Mohamed Sanu,ATL,WR,30,7,76.4,4.775,49,3.2,76.4,-27.43333333,170
T.Y. Hilton,IND,WR,30,7,123.9,7.74375,25,2,123.9,20.06666667,66
Jarius Wright,CAR,WR,30,7,58.8,3.675,64,9.8,58.8,-45.03333333,206
Brian Quick,WAS,WR,30,7,70.6,4.4125,53,0.2,70.6,-33.23333333,182
Travis Benjamin,LAC,WR,30,7,42.7,2.66875,69,1.5,42.7,-61.13333333,231
Marvin Jones,DET,WR,29,7,45.8,2.8625,67,2.85,45.8,-58.03333333,227
Dwayne Allen,MIA,TE,29,7,76.5,4.78125,20,4.85,76.5,-10.4,140
Coby Fleener,FA,TE,31,7,78.6,4.9125,19,2.15,78.6,-8.3,133
Randy Bullock,CIN,K,30,7,41,2.5625,7,0,41,1.285714286,101
Greg Zuerlein,LAR,K,32,7,41,2.5625,7,1,41,1.285714286,101
Alfred Morris,FA,RB,31,7,193.8,12.1125,11,7.6,193.8,113.6666667,11
Blair Walsh,FA,K,29,7,36,2.25,11,1,36,-3.714285714,122
Rod Streater,FA,WR,31,7,85.2,5.325,46,5.35,85.2,-18.63333333,152
Deonte Thompson,NYJ,WR,30,7,40.6,2.5375,71,0.5,40.6,-63.23333333,235
Josh Gordon,NEP,WR,28,7,111.4,6.9625,32,2.55,111.4,7.566666667,85
Cole Beasley,BUF,WR,30,7,26.1,1.63125,77,1,26.1,-77.73333333,245
Justin Tucker,BAL,K,30,7,39,2.4375,8,0,39,-0.714285714,107
Geno Smith,SEA,QB,29,6,94.2,5.8875,27,31.7,94.2,-115.6666667,252
Matt Barkley,BUF,QB,29,6,10.4,0.65,35,2.6,10.4,-199.4666667,260
E.J. Manuel,FA,QB,29,6,143.28,8.955,24,10.28,143.28,-66.58666667,241
Andre Ellington,TBB,RB,30,6,28.1,1.75625,60,2.15,28.1,-52.03333333,221
Kenjon Barner,ATL,RB,30,6,39.4,2.4625,53,6.4,39.4,-40.73333333,198
Christine Michael,FA,RB,29,6,61.9,3.86875,44,3.3,61.9,-18.23333333,151
Mike Gillislee,FA,RB,29,6,31.9,1.99375,56,2.4,31.9,-48.23333333,212
