Name,Position,Team,Points,Pts-Game,CI-Low,CI-Hi,Ovr,Pos,CA-Low,CA-Hi,PassYds,PassTDs,PassInts,RushAtt,RushYds,RushTDs,WR-Rec,WR-Yds,WR-TDs
Jerick McKinnon,RB,SF,60.92,3.81,50.44,71.4,200,60,0.06,0.06,0.3,0.06,0,81.47,334.34,2.06,15.97,133.83,0.45
Dallas Goedert,TE,PHI,60.88,3.81,45.1,76.66,201,24,0,0,0,0,0,0,0,0,38.51,367.66,3.9
Duke Johnson,RB,CLE,59.2,3.7,53.53,64.87,202,61,0.03,0.09,0.03,0.03,0,21.47,100.17,0.63,35.69,301.22,2.67
Danny Amendola,WR,DET,58.92,3.68,48.81,69.03,203,83,0,0,0,0,0,0.57,3.27,0,44.47,470.82,2.05
Devin Singletary,RB,BUF,57.98,3.62,51.75,64.21,204,62,0,0.05,0,0,0,72.74,317.89,1.58,15.42,133.98,0.68
Chris Thompson,RB,WSH,56.49,3.53,41.44,71.54,205,63,0.04,0.11,0.28,0,0.03,45.31,164.79,0.73,34.08,267.58,1.63
Will Dissly,TE,SEA,56.12,3.51,40.42,71.82,206,25,0,0,0,0,0,0,0,0,27.48,339,3.75
D.J. Chark,WR,JAC,55.6,3.48,39.18,72.02,207,84,0.04,0.32,2.06,0.06,0.06,0,0,0,39.28,448.56,1.86
Jason Witten,TE,DAL,55.28,3.46,41.93,68.63,208,26,0,0,0,0,0,0,0,0,38.16,398.64,2.63
Cole Beasley,WR,BUF,54.26,3.39,44.39,64.13,209,85,0,0.3,0,0,0,0,0,0,34.63,398.01,2.5
Randall Cobb,WR,DAL,53.86,3.37,42.29,65.43,210,86,0.3,0.3,6.84,0,0,1.73,11.51,0.04,42.95,437.72,1.52
Gus Edwards,RB,BAL,52.8,3.3,45.17,60.43,211,64,0,0,0,0,0,65.01,258.97,4.11,1.82,17.21,0.05
Zay Jones,WR,BUF,52.51,3.28,41.01,64.01,212,87,0,0,0,0,0,0.84,12.46,0,31.48,364.01,2.54
Antonio Callaway,WR,CLE,51.83,3.24,40.63,63.03,213,88,0,0,0,0,0,1.23,5.27,0,30.3,398.88,2.09
Frank Gore,RB,BUF,50.25,3.14,38.54,61.96,214,65,0,0,0,0,0,59.89,266.81,2.12,9.56,96.89,0.26
Chris Conley,WR,JAC,49.86,3.12,38.17,61.55,215,89,0,0.04,0,0,0,0,0,0,30.41,354.07,2.5
Trey Quinn,WR,WSH,49.53,3.1,38.33,60.73,216,90,0.08,0.08,1.58,0,0,0.33,4.65,0,35.41,374.1,1.98
Elijah McGuire,RB,NYJ,49.35,3.08,35.08,63.62,217,66,0,0,0,0,0,76.44,226.16,1.34,19.2,175.64,0.66
Rashard Higgins,WR,CLE,49.14,3.07,38.73,59.55,218,91,0,0.03,0,0,0,0.16,1.06,0,30.47,369.86,2.1
Darren Waller,TE,OAK,48.28,3.02,34.42,62.14,219,27,0,0,0,0,0,0.21,0.12,0,23.11,273.24,3.5
Travis Benjamin,WR,LAC,47.95,3,35.95,59.95,220,92,0,0.06,0,0,0,1.51,10.29,0,20.4,385.66,1.36
Cordarrelle Patterson,WR,CHI,47.64,2.98,36.03,59.25,221,93,0.74,0.76,7.04,0.06,0,18.86,100.5,0.34,18.1,240.96,2
Jermaine Kearse,WR,DET,47.58,2.97,37.72,57.44,222,94,0.04,0.04,1.45,0,0,0.07,-0.21,0,27.41,352.74,2.16
Geoff Swaim,TE,JAC,46.37,2.9,35.82,56.92,223,28,0,0,0,0,0,0,0,0,28.92,297.92,2.9
Devontae Booker,RB,DEN,46.22,2.89,38.49,53.95,224,67,0,0,0,0,0,29.26,136.73,1,25.89,229.92,0.67
Matt LaCosse,TE,NE,46.13,2.88,31.05,61.21,225,29,0,0,0,0,0,0,0,0,43.71,387.57,1.29
Gerald Everett,TE,LA,45.78,2.86,34.11,57.45,226,30,0,0,0,0,0,0.62,4.03,0,25.6,276.97,2.92
Demarcus Robinson,WR,KC,45.29,2.83,34.62,55.96,227,95,0,0,0,0,0,0,0,0,26.8,348.89,1.85
Breshad Perriman,WR,TB,45.14,2.82,33.75,56.53,228,96,0,0,0,0,0,0.56,4,0,21.98,309.43,2.28
Doug Martin,RB,OAK,44.87,2.8,35.42,54.32,229,68,0.01,0.01,0.07,0,0,78.31,296.02,1.84,6.81,49.42,0.16
Vernon Davis,TE,WSH,44.72,2.8,33.87,55.57,230,31,0,0,0,0,0,0,0,0,24.06,278.22,2.83
Equanimeous St. Brown,WR,GB,44.3,2.77,34.41,54.19,231,97,0,0,0,0,0,0.28,2.11,0,23.83,327.06,1.92
Ricky Seals-Jones,TE,ARI,42.86,2.68,33.06,52.66,232,32,0,0,0,0,0,0,0,0,24.64,312.25,1.92
Justin Jackson,RB,LAC,42.37,2.65,35.15,49.59,233,69,0,0.03,0,0,0,48.62,215.51,1.49,10.56,93.87,0.49
Jarius Wright,WR,CAR,42.22,2.64,31.69,52.75,234,98,0,0.09,0,0,0,0.46,6.43,0,27.95,325.12,1.46
