Name,Position,Team,Points,Pts-Game,CI-Low,CI-Hi,Ovr,Pos,CA-Low,CA-Hi,PassYds,PassTDs,PassInts,RushAtt,RushYds,RushTDs,WR-Rec,WR-Yds,WR-TDs
Mike Williams,WR,LAC,126.51,7.91,105.24,147.78,88,26,0,0.12,0,0,0,2.85,16.17,0,55.55,809.76,7.28
Allen Robinson,WR,CHI,126.3,7.89,98.06,154.54,89,27,0.26,0.26,10.95,0,0,0.8,2.74,0.24,65.27,868.05,6.27
David Montgomery,RB,CHI,123.57,7.72,104.47,142.67,90,31,0,0.27,0,0,0,174.11,752.32,4.58,20.64,163.71,0.95
Darrell Henderson,RB,LA,122.84,7.68,102.36,143.32,91,32,0.06,0.1,0.21,0.06,0,165.56,710.19,4.09,27.64,207.42,1.07
D.J. Moore,WR,CAR,120.9,7.56,97.33,144.47,92,28,0.12,0.14,0.4,0,0.03,11.51,108.05,0,64.46,867.65,4.14
Hunter Henry,TE,LAC,118.67,7.42,94.52,142.82,93,4,0,0,0,0,0,0,0,0,56.72,715.38,7.94
Robby Anderson,WR,NYJ,118.2,7.39,98.11,138.29,94,29,0,0,0,0,0,1.45,3.46,0,56.91,866.23,5.4
Jordan Howard,RB,PHI,117.63,7.35,94.35,140.91,95,33,0,0.09,0,0,0,188.91,750.79,5.39,23,121.95,0.24
O.J. Howard,TE,TB,117.48,7.34,92,142.96,96,5,0,0,0,0,0,0,0,0,56.28,791.2,6.54
Case Keenum,QB,WSH,117.18,7.32,102.99,131.37,97,30,161.79,270.56,1741.86,10.89,7.67,25.63,124.32,1.45,0.2,0.46,0.07
Jarvis Landry,WR,CLE,116.32,7.27,91.3,141.34,98,30,0.27,0.82,16.45,0.03,0,2.12,15.26,0.12,75.95,865.1,4.81
Marvin Jones,WR,DET,116.09,7.26,92.57,139.61,99,31,0.12,0.12,0.36,0.12,0,0,0,0,53.43,822.72,5.59
Golden Tate,WR,NYG,115.81,7.24,92.46,139.16,100,32,0.06,0.25,1.18,0,0.06,3.93,37.13,0.15,75.4,816.7,4.96
Latavius Murray,RB,NO,115.34,7.21,98.68,132,101,34,0,0,0,0,0,165.72,724.86,6.02,11.84,65.87,0.07
Joe Flacco,QB,DEN,115,7.19,98.16,131.84,102,31,172.6,306.54,1915.42,11.51,6.69,14.31,30.95,0.71,0.07,2.07,0.08
Will Fuller,WR,HOU,114.8,7.18,93.89,135.71,103,33,0.04,0.22,0.67,0,0.08,0.46,2.15,0,54.72,776.25,6.41
Kenny Stills,WR,MIA,114.24,7.14,84.4,144.08,104,34,0.22,0.22,0.77,0.22,0,0,0,0,50.12,795.66,5.51
Sterling Shepard,WR,NYG,113.39,7.09,94.45,132.33,105,35,0.04,0.04,0.44,0,0,1.57,6.86,0,66.5,846.64,4.84
Evan Engram,TE,NYG,113.12,7.07,89.46,136.78,106,6,0.16,0.16,9.35,0.21,0,0.68,10.52,0,71.67,812.86,5.08
Ryan Fitzpatrick,QB,MIA,112.7,7.04,99.47,125.93,107,32,167.06,272.85,1909.93,11.49,7.73,18.9,72.07,0.3,0.24,2.83,0
Courtland Sutton,WR,DEN,111.94,7,90.46,133.42,108,36,0,0,0,0,0,0.47,0.74,0,51.45,784.74,5.5
Peyton Barber,RB,TB,111.73,6.98,95.55,127.91,109,35,0,0.2,0,0,0,197.48,758.45,4.11,18.01,97.77,0.43
Corey Davis,WR,TEN,110.71,6.92,89.12,132.3,110,37,0.02,0.02,0.32,0,0,1.76,24.41,0,61.59,806.69,4.74
Josh Rosen,QB,MIA,110.51,6.91,96.6,124.42,111,33,168.96,275.96,1827.5,10.48,8.94,21.97,107.95,0.85,0.19,0.72,0
Austin Ekeler,RB,LAC,110.33,6.9,86.03,134.63,112,36,0,0.06,0,0,0,91.76,471.63,2.55,37.31,357.33,2.31
Dwayne Haskins,QB,WSH,109.7,6.86,92.39,127.01,113,34,183.98,299.73,2022.85,11.06,8.71,11.84,26.8,0.42,0.14,-0.2,0
Drew Lock,QB,DEN,108.81,6.8,94.07,123.55,114,35,159.73,259.2,1783.82,9.63,7.51,28.08,121.92,0.76,0.15,0.06,0
Larry Fitzgerald,WR,ARI,106.34,6.65,87.63,125.05,115,38,0.32,0.32,9.49,0.32,0,0,0,0,64.3,701.91,5.71
Tyreek Hill,WR,KC,106.01,6.63,91,121.02,116,39,0,0,0,0,0,2.84,20.69,0.15,43.47,693.15,5.68
LeSean McCoy,RB,BUF,103.71,6.48,85.1,122.32,117,37,0.18,0.22,3.4,0.2,0,173.96,588.23,2.95,26.01,221.14,0.78
Christian Kirk,WR,ARI,103.18,6.45,82.42,123.94,118,40,0,0,0,0,0,1.7,12.36,0,57.94,797.91,3.82
N'Keal Harry,WR,NE,102.92,6.43,81.4,124.44,119,41,0,0,0,0,0,0,0,0,50.27,711.77,5.34
Rashaad Penny,RB,SEA,102.2,6.39,84.95,119.45,120,38,0,0,0,0,0,131.01,643.88,3.47,18.13,128.46,0.85
Jared Cook,TE,NO,101.95,6.37,84.08,119.82,121,7,0,0,0,0,0,0,0,0,50.42,707.17,5.29
Dede Westbrook,WR,JAC,99.45,6.22,78.97,119.93,122,42,0,0.16,0,0,0,3.86,23.85,0,57.21,671.06,5.16
DeSean Jackson,WR,PHI,99.24,6.2,81.7,116.78,123,43,0,0,0,0,0,2.1,20.2,0.27,31.32,699.82,4.24
Dante Pettis,WR,SF,97.77,6.11,72.71,122.83,124,44,0,0,0,0,0,0.6,2.89,0,52.21,657.63,5.53
Devin Funchess,WR,IND,96.67,6.04,77.33,116.01,125,45,0,0,0,0,0,0.06,-0.1,0,46.04,604.69,6.05
Eric Ebron,TE,IND,95.81,5.99,79.54,112.08,126,8,0,0.06,0,0,0,0.51,-0.52,0.3,45.99,534.57,6.83
Geronimo Allison,WR,GB,94.79,5.92,74.53,115.05,127,46,0,0,0,0,0,0,0,0,53.49,689.12,4.36
Ito Smith,RB,ATL,92.97,5.81,78.58,107.36,128,39,0.12,0.14,0.3,0.12,0,122.84,454.06,3.54,27.35,222.96,0.78
Curtis Samuel,WR,CAR,92.73,5.8,73.52,111.94,129,47,0.18,0.18,2.85,0.18,0,8.45,64.99,0.56,51.35,602.74,3.69
Vance McDonald,TE,PIT,92.46,5.78,76.32,108.6,130,9,0,0,0,0,0,0,0,0,51.24,600.14,5.53
Donte Moncrief,WR,PIT,91.38,5.71,72.6,110.16,131,48,0,0,0,0,0,0,0,0,42.39,607.87,4.99
David Njoku,TE,CLE,90.25,5.64,70.57,109.93,132,10,0,0,0,0,0,0,0,0,50.05,615.41,4.86
Robert Foster,WR,BUF,89.88,5.62,70.52,109.24,133,49,0.2,0.2,0.5,0.2,0,0,0,0,36.33,641.8,4.14
Royce Freeman,RB,DEN,89.66,5.6,72.49,106.83,134,40,0,0,0,0,0,143.04,573.79,3.49,15.45,113.69,0.28
Austin Hooper,TE,ATL,89.39,5.59,73.01,105.77,135,11,0,0,0,0,0,0.04,0,0,59.63,549.57,5.75
Kalen Ballage,RB,MIA,88.72,5.55,69.96,107.48,136,41,0,0.34,0,0,0,122.48,572.09,2.21,21.58,154.1,0.58
John Brown,WR,BUF,88.68,5.54,68.34,109.02,137,50,0,0,0,0,0,0.44,3.04,0,43.16,594.34,4.94
Ted Ginn Jr.,WR,NO,88.46,5.53,73.65,103.27,138,51,0.63,0.63,6.72,0.2,0,7.6,65.79,0.81,37.72,536.72,3.74
James Washington,WR,PIT,88.43,5.53,65.37,111.49,139,52,0,0,0,0,0,0,0,0,40.49,612.49,4.47
Tyrell Williams,WR,OAK,88.31,5.52,70.65,105.97,140,53,0,0,0,0,0,0.86,1.62,0,44.39,630.65,4.24
D'Onta Foreman,RB,HOU,88.11,5.51,76.57,99.65,141,42,0,0,0,0,0,101.49,424.35,4.41,11.04,117.78,1.23
Marqise Lee,WR,JAC,87.72,5.48,73.47,101.97,142,54,0,0.01,0,0,0,0.22,1.4,0,51.5,659.51,3.61
Nyheim Hines,RB,IND,87.54,5.47,73.28,101.8,143,43,0.23,0.23,3.5,0.24,0,86.39,330,1.84,53.84,357.23,1.32
Keke Coutee,WR,HOU,87.2,5.45,67.27,107.13,144,55,0,0,0,0,0,3.54,24.37,0,55.32,612.96,4.03
Chris Herndon,TE,NYJ,86.99,5.44,67.04,106.94,145,12,0,0,0,0,0,0,0,0,49.01,567.63,5.09
Jamaal Williams,RB,GB,85.98,5.37,67.87,104.09,146,44,0,0,0,0,0,113.39,452.79,3.96,19.14,134.89,0.63
Michael Gallup,WR,DAL,85.73,5.36,66.79,104.67,147,56,0,0,0,0,0,0.06,-0.36,0,41.28,614.84,4
Marquise Brown,WR,BAL,85.33,5.33,64.51,106.15,148,57,0,0.06,0,0,0,0,0,0,45.08,624.97,3.73
Mohamed Sanu,WR,ATL,85.2,5.33,72.54,97.86,149,58,0.16,0.28,0.64,0.16,0,3.2,31.78,0,50.77,616.6,3.41
Adrian Peterson,RB,WSH,84.62,5.29,68.8,100.44,150,45,0.06,0.06,0.36,0.06,0,131.23,526.37,2.82,19.36,150.91,0.25
C.J. Anderson,RB,DET,84.36,5.27,64.99,103.73,151,46,0,0,0,0,0,108.4,508.81,3.86,13.92,96.32,0.29
Albert Wilson,WR,MIA,83.99,5.25,64.5,103.48,152,59,0,0.12,0,0,0,5.74,36.06,0,43.62,561.17,4.26
Emmanuel Sanders,WR,DEN,82.3,5.14,65.81,98.79,153,60,0,0,0,0,0,1.1,2.74,0,52.94,612.86,3.6
Ronald Jones,RB,TB,81.56,5.1,71.42,91.7,154,47,0,0.28,0,0,0.25,125.21,487.22,3.35,21.37,128.2,0.31
