Yahoo-ID,Player,Team,Position,Proj-Value,AAV,Percent-Drafted,ADP,Avg-Round,Percent-Drafted
31029,Derrius Guice,Was,RB,$12 ,3.9,100%,79.5,9,100%
27532,Sammy Watkins,KC,WR,$18 ,4,100%,80.7,9.2,100%
30142,David Njoku,Cle,TE,$9 ,2.3,100%,81.1,9.2,100%
26534,Justin Tucker,Bal,K,$1 ,2,100%,82.5,9.4,100%
29288,Tyler Boyd,Cin,WR,$13 ,3,100%,84.4,9.6,100%
27658,James White,NE,RB,$12 ,2.6,100%,84.8,9.6,100%
29384,Jordan Howard,Phi,RB,$7 ,3.3,100%,85.4,9.8,100%
30346,Harrison Butker,KC,K,$1 ,1.6,100%,85.5,9.8,100%
minnesota,Minnesota,Min,DEF,$1 ,1.3,99%,86.4,9.8,100%
30118,Corey Davis,Ten,WR,$14 ,3.4,100%,86.5,9.7,100%
29785,Robby Anderson,NYJ,WR,$22 ,3.9,100%,88.7,10,100%
7867,Stephen Gostkowski,NE,K,$1 ,1.3,100%,90.2,10.2,100%
25807,Lamar Miller,Hou,RB,$12 ,2.9,100%,93.6,10.5,100%
31833,Kyler Murray,Ari,QB,$9 ,2.2,100%,94.5,10.5,98%
houston,Houston,Hou,DEF,$1 ,1.3,100%,95.1,10.7,99%
28461,Tevin Coleman,SF,RB,$10 ,2.2,100%,95.5,10.8,100%
29236,Carson Wentz,Phi,QB,$9 ,1.9,100%,95.5,10.7,100%
29754,Wil Lutz,NO,K,$1 ,1.4,100%,95.5,10.7,99%
la-chargers,Los Angeles,LAC,DEF,$1 ,1.1,99%,96.1,10.8,99%
29255,Will Fuller V,Hou,WR,$12 ,2.1,100%,98,11,100%
29792,Ka'imi Fairbairn,Hou,K,$0 ,1.3,99%,100,11.2,99%
29235,Jared Goff,LAR,QB,$7 ,1.7,100%,100.7,11.3,100%
30199,Kareem Hunt,Cle,RB,$2 ,3.5,45%,100.9,11,74%
